scenario_index,transmitter_x,transmitter_y,wind_dir_x,wind_dir_y,wind_speed
0,7.5,9.75,1.0,0.0,0.2
1,7.5,9.75,1.0,0.0,0.6
2,7.5,9.75,1.0,0.0,1.0
3,7.5,9.75,0.0,1.0,0.2
4,7.5,9.75,0.0,1.0,0.6
5,7.5,9.75,0.0,1.0,1.0
6,7.5,9.75,0.7071067811865475,0.7071067811865475,0.2
7,7.5,9.75,0.7071067811865475,0.7071067811865475,0.6
8,7.5,9.75,0.7071067811865475,0.7071067811865475,1.0
9,7.5,9.75,-0.7071067811865475,0.7071067811865475,0.2
10,7.5,9.75,-0.7071067811865475,0.7071067811865475,0.6
11,7.5,9.75,-0.7071067811865475,0.7071067811865475,1.0
12,1.5,1.5,1.0,0.0,0.2
13,1.5,1.5,1.0,0.0,0.6
14,1.5,1.5,1.0,0.0,1.0
15,1.5,1.5,0.0,1.0,0.2
16,1.5,1.5,0.0,1.0,0.6
17,1.5,1.5,0.0,1.0,1.0
18,1.5,1.5,0.7071067811865475,0.7071067811865475,0.2
19,1.5,1.5,0.7071067811865475,0.7071067811865475,0.6
20,1.5,1.5,0.7071067811865475,0.7071067811865475,1.0
21,1.5,1.5,-0.7071067811865475,0.7071067811865475,0.2
22,1.5,1.5,-0.7071067811865475,0.7071067811865475,0.6
23,1.5,1.5,-0.7071067811865475,0.7071067811865475,1.0
24,3.0,9.75,1.0,0.0,0.2
25,3.0,9.75,1.0,0.0,0.6
26,3.0,9.75,1.0,0.0,1.0
27,3.0,9.75,0.0,1.0,0.2
28,3.0,9.75,0.0,1.0,0.6
29,3.0,9.75,0.0,1.0,1.0
30,3.0,9.75,0.7071067811865475,0.7071067811865475,0.2
31,3.0,9.75,0.7071067811865475,0.7071067811865475,0.6
32,3.0,9.75,0.7071067811865475,0.7071067811865475,1.0
33,3.0,9.75,-0.7071067811865475,0.7071067811865475,0.2
34,3.0,9.75,-0.7071067811865475,0.7071067811865475,0.6
35,3.0,9.75,-0.7071067811865475,0.7071067811865475,1.0
36,12.0,9.75,1.0,0.0,0.2
37,12.0,9.75,1.0,0.0,0.6
38,12.0,9.75,1.0,0.0,1.0
39,12.0,9.75,0.0,1.0,0.2
40,12.0,9.75,0.0,1.0,0.6
41,12.0,9.75,0.0,1.0,1.0
42,12.0,9.75,0.7071067811865475,0.7071067811865475,0.2
43,12.0,9.75,0.7071067811865475,0.7071067811865475,0.6
44,12.0,9.75,0.7071067811865475,0.7071067811865475,1.0
45,12.0,9.75,-0.7071067811865475,0.7071067811865475,0.2
46,12.0,9.75,-0.7071067811865475,0.7071067811865475,0.6
47,12.0,9.75,-0.7071067811865475,0.7071067811865475,1.0
48,7.5,9.75,0.0,0.0,0.0
49,1.5,1.5,0.0,0.0,0.0
50,3.0,9.75,0.0,0.0,0.0
51,12.0,9.75,0.0,0.0,0.0
